region,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
Central,,College,716439.55,46623.0,91.0,0,Corporate Auto,Four-Door Car,436.8
West Region,,College,761951.58,64749.0,64.0,0,Special Auto,Four-Door Car,302.56519
Central,,High School or Below,395800.28,0.0,101.0,0,Personal Auto,SUV,484.8
North West,,High School or Below,449949.33,16969.0,124.0,2,Personal Auto,SUV,704.768111
North West,,Master,405956.74,11621.0,108.0,0,Personal Auto,Four-Door Car,518.4
Central,,Bachelor,445811.34,17622.0,65.0,1,Personal Auto,Four-Door Car,312.0
West Region,,Bachelor,811033.31,11489.0,105.0,0,Personal Auto,Two-Door Car,504.0
North West,,Bachelor,333976.49,0.0,94.0,0,Personal Auto,Two-Door Car,863.327324
West Region,,High School or Below,2426101.78,66525.0,100.0,0,Personal Auto,SUV,104.331355
Central,,Bachelor,661397.37,0.0,63.0,0,Personal Auto,Four-Door Car,676.391482
East,,College,293069.35,33663.0,73.0,0,Personal Auto,Four-Door Car,350.4
North West,,College,867219.43,22547.0,112.0,0,Corporate Auto,SUV,537.6
Central,,High School or Below,1163866.93,61486.0,97.0,0,Personal Auto,Two-Door Car,465.258644
North West,,Bachelor,684615.03,0.0,95.0,0,Personal Auto,Two-Door Car,456.0
West Region,,College,1172777.65,29879.0,102.0,0,Personal Auto,Four-Door Car,500.254235
North West,,High School or Below,2264383.48,93011.0,113.0,0,Personal Auto,SUV,281.451042
North West,,Master,261447.43,65186.0,65.0,0,Personal Auto,Two-Door Car,5.434505
North West,,Master,245175.27,26840.0,64.0,2,Personal Auto,Four-Door Car,307.2
North West,,Bachelor,678127.02,0.0,104.0,1,Personal Auto,Sports Car,982.399613
North West,,Bachelor,497480.15,75644.0,65.0,3,Personal Auto,Two-Door Car,467.803638
North West,,Bachelor,859160.49,38984.0,73.0,0,Personal Auto,Four-Door Car,350.4
North West,,High School or Below,559216.14,71811.0,71.0,0,Personal Auto,Four-Door Car,29.03416
Central,,College,800947.28,20961.0,67.0,0,Personal Auto,Four-Door Car,321.6
East,Female,Master,182071.51761459207,41275.0,96.0,0,Personal Auto,Four-Door Car,41.122303
West Region,,Bachelor,5816655.35,61321.0,186.0,1,Personal Auto,Luxury Vehicle,427.63121
West Region,,College,802522.94,0.0,77.0,0,Personal Auto,Two-Door Car,25.807685
West Region,,High School or Below,578018.22,51066.0,74.0,0,Personal Auto,Four-Door Car,787.993313
West Region,,Doctor,411853.91,34378.0,102.0,0,Personal Auto,SUV,489.6
Central,,Master,252307.02,43072.0,63.0,0,Personal Auto,Four-Door Car,302.4
North West,,College,655421.64,25222.0,90.0,0,Personal Auto,Four-Door Car,475.623251
East,Female,Bachelor,538275.2,77552.0,68.0,1,Corporate Auto,Four-Door Car,45.215059
West Region,,College,592672.94,23091.0,96.0,5,Personal Auto,Four-Door Car,460.8
West Region,,Bachelor,268347.07,48269.0,69.0,3,Corporate Auto,Four-Door Car,282.151207
North West,,Bachelor,269518.24,32720.0,67.0,0,Personal Auto,Four-Door Car,321.6
West Region,,College,604702.52,20396.0,76.0,1,Personal Auto,Four-Door Car,364.8
North West,,College,1317101.28,21513.0,119.0,1,Personal Auto,Two-Door Car,679.827592
East,Female,College,1595001.95,0.0,87.0,1,Personal Auto,Two-Door Car,46.041452
North West,,Bachelor,252765.38,80744.0,63.0,0,Corporate Auto,Four-Door Car,11.879037
North West,,Bachelor,267209.58,52822.0,67.0,0,Corporate Auto,Two-Door Car,350.529033
West Region,,High School or Below,531329.4,0.0,77.0,1,Personal Auto,Four-Door Car,863.3947
North West,,Bachelor,2094619.25,69738.0,74.0,1,Personal Auto,Four-Door Car,492.127532
Central,,Master,837535.39,17780.0,109.0,0,Personal Auto,SUV,132.588288
West Region,,Bachelor,480166.15,18107.0,62.0,0,Personal Auto,Four-Door Car,297.6
Central,,Bachelor,574594.33,57740.0,74.0,3,Personal Auto,Four-Door Car,269.905129
North West,,College,606611.6,32627.0,76.0,0,Personal Auto,Two-Door Car,380.036697
West Region,,College,800230.83,0.0,107.0,0,Personal Auto,SUV,513.6
West Region,,College,239391.54,0.0,70.0,0,Personal Auto,Four-Door Car,425.266308
North West,,Bachelor,476281.79,65795.0,62.0,1,Corporate Auto,Two-Door Car,49.011099
West Region,,College,433038.6,60475.0,107.0,0,Personal Auto,Four-Door Car,513.6
West Region,,High School or Below,940272.98,0.0,130.0,0,Personal Auto,SUV,936.0
North West,,Bachelor,696669.45,41837.0,88.0,0,Personal Auto,Four-Door Car,142.062768
West Region,,Bachelor,769406.43,32303.0,65.0,0,Personal Auto,Four-Door Car,45.152521
North West,,High School or Below,871756.11,0.0,117.0,1,Personal Auto,SUV,561.6
West Region,,Bachelor,592874.85,40531.0,74.0,0,Personal Auto,Two-Door Car,30.567357
North West,,College,245297.73,79898.0,62.0,1,Corporate Auto,Four-Door Car,271.606799
West Region,,College,670157.17,56398.0,85.0,0,Personal Auto,Four-Door Car,408.0
East,Male,High School or Below,499655.27,71600.0,63.0,0,Personal Auto,Two-Door Car,46.158117
Central,,College,849269.88,27804.0,109.0,0,Personal Auto,SUV,784.8
North West,,Bachelor,771349.4,45506.0,66.0,2,Personal Auto,Four-Door Car,316.8
East,Female,Master,518579.76,99428.0,6464.0,1,Personal Auto,Four-Door Car,48.046869
West Region,,High School or Below,729006.98,0.0,102.0,1,Corporate Auto,SUV,489.6
North West,,High School or Below,477294.38,20993.0,133.0,0,Personal Auto,SUV,638.4
Central,,High School or Below,680649.14,37839.0,86.0,0,Personal Auto,Two-Door Car,465.633954
West Region,,Bachelor,246978.13,92711.0,62.0,0,Personal Auto,Two-Door Car,368.400146
West Region,,College,310392.3,74665.0,78.0,2,Corporate Auto,Four-Door Car,236.902001
East,Female,College,1048491.54,61108.0,89.0,0,Personal Auto,Four-Door Car,49.451117
West Region,,Bachelor,890273.76,46833.0,112.0,0,Personal Auto,Sports Car,64.109663
North West,,High School or Below,549944.72,88768.0,68.0,0,Personal Auto,Two-Door Car,326.4
West Region,,High School or Below,1502359.86,28262.0,192.0,0,Personal Auto,Luxury Vehicle,921.6
Central,,Bachelor,250910.79,33555.0,63.0,0,Personal Auto,Four-Door Car,101.89645
North West,,College,3122174.81,42780.0,113.0,1,Personal Auto,Four-Door Car,542.4
North West,,Master,313350.34,58850.0,78.0,0,Personal Auto,Four-Door Car,143.747794
Central,,College,383745.19,21880.0,97.0,0,Special Auto,Four-Door Car,424.077159
North West,,College,1179049.62,25251.0,66.0,0,Personal Auto,Four-Door Car,316.8
East,Female,High School or Below,282986.39,25317.0,71.0,0,Personal Auto,Two-Door Car,50.422181
Central,,High School or Below,430580.83,24188.0,109.0,0,Personal Auto,Sports Car,523.2
Central,,Bachelor,597397.69,41611.0,74.0,0,Special Auto,Four-Door Car,113.801497
North West,,Bachelor,567044.24,28406.0,72.0,1,Personal Auto,Four-Door Car,192.87572
Central,,College,473174.93,69833.0,118.0,0,Personal Auto,Four-Door Car,828.662719
Central,,High School or Below,802637.96,0.0,74.0,0,Corporate Auto,Four-Door Car,532.8
Central,,High School or Below,402296.35,0.0,117.0,0,Personal Auto,SUV,975.107098
North West,,High School or Below,961831.09,80536.0,119.0,0,Special Auto,Sports Car,53.798708
East,Female,Bachelors,725595.38,88891.0,89.0,0,Personal Auto,Four-Door Car,50.528355
North West,,College,955292.69,97732.0,79.0,0,Personal Auto,Four-Door Car,289.9122
Central,Female,Bachelor,1038855.32,61222.0,89.0,0,Special Auto,Four-Door Car,392.604371
North West,Male,College,247012.12,0.0,74.0,0,Personal Auto,Two-Door Car,721.242206
Central,Male,Master,561906.85,50335.0,140.0,0,Personal Auto,SUV,456.52385
West Region,Female,High School or Below,904711.92,0.0,127.0,0,Personal Auto,Sports Car,1087.995426
East,Female,Doctor,268731.41,82210.0,68.0,4,Personal Auto,Four-Door Car,51.961915
North West,Female,High School or Below,373150.46,0.0,96.0,0,Personal Auto,Four-Door Car,460.8
Central,Male,Bachelor,366077.03,64495.0,92.0,0,Corporate Auto,Four-Door Car,251.992083
West Region,Female,College,792882.93,0.0,72.0,0,Corporate Auto,Four-Door Car,345.6
Central,Female,Bachelor,501175.16,28859.0,67.0,3,Corporate Auto,Two-Door Car,321.6
Central,Female,High School or Below,798825.83,77330.0,99.0,0,Personal Auto,Four-Door Car,99.257608
North West,Male,College,388545.64,0.0,105.0,0,Corporate Auto,Four-Door Car,504.0
East,Female,High School or Below,935773.78,33060.0,117.0,0,Personal Auto,Four-Door Car,56.731578
East,Male,Master,254068.98,42557.0,65.0,0,Personal Auto,Four-Door Car,57.562324
Central,Male,High School or Below,488516.25,26372.0,126.0,0,Personal Auto,SUV,604.8
Central,Female,Bachelor,975330.71,17514.0,127.0,0,Personal Auto,SUV,8.312729
West Region,,Bachelor,294615.37,89270.0,74.0,0,Personal Auto,Four-Door Car,316.599228
West Region,Male,High School or Below,258111.09,29757.0,65.0,0,Personal Auto,Four-Door Car,312.0
North West,Male,College,351738.58,51814.0,92.0,0,Personal Auto,Four-Door Car,56.300724
North West,Female,Bachelor,974335.01,24028.0,82.0,0,Personal Auto,Four-Door Car,393.6
Central,Male,College,387364.7,28142.0,105.0,0,Personal Auto,Sports Car,701.708239
Central,Female,Bachelor,764928.2,52705.0,64.0,1,Personal Auto,Two-Door Car,128.705563
West Region,Male,High School or Below,228759.69,0.0,63.0,0,Corporate Auto,Two-Door Car,679.368378
East,Female,High School or Below,825576.39,54040.0,103.0,0,Personal Auto,SUV,59.987126
West Region,Female,College,871492.21,0.0,118.0,0,Personal Auto,SUV,566.4
East,Female,Doctor,681923.12,22492.0,85.0,0,Personal Auto,Two-Door Car,61.654262
West Region,Male,Bachelor,741619.73,0.0,77.0,2,Personal Auto,Four-Door Car,554.4
North West,Male,Master,777115.9,21876.0,68.0,0,Personal Auto,Four-Door Car,465.41477
West Region,Female,Bachelor,696834.19,0.0,69.0,1,Personal Auto,Four-Door Car,496.8
West Region,Female,High School or Below,425028.26,0.0,61.0,1,Personal Auto,Four-Door Car,292.8
North West,Female,High School or Below,1977656.65,70699.0,82.0,0,Personal Auto,Four-Door Car,256.813837
West Region,Female,High School or Below,2134346.6,0.0,74.0,1,Personal Auto,Four-Door Car,355.2
West Region,Male,College,241313.97,27501.0,63.0,0,Personal Auto,Four-Door Car,542.319401
North West,Female,Doctor,1536384.72,15897.0,101.0,0,Personal Auto,Four-Door Car,303.148399
Central,Female,College,845696.19,25141.0,73.0,1,Personal Auto,Four-Door Car,25.438063
Central,Female,College,218964.25,0.0,61.0,3,Personal Auto,Four-Door Car,292.8
West Region,Male,High School or Below,578018.22,51066.0,74.0,0,Personal Auto,Four-Door Car,787.993313
West Region,Female,Bachelor,463998.16,28358.0,117.0,0,Personal Auto,Sports Car,84.024413
East,Female,Doctor,382443.13,62530.0,95.0,0,Personal Auto,Four-Door Car,61.693771
Central,Female,Bachelor,596811.89,90972.0,74.0,0,Personal Auto,Two-Door Car,232.926145
East,Female,Bachelor,859033.5,63110.0,72.0,0,Personal Auto,Four-Door Car,68.179721
West Region,Female,Bachelor,407663.47,29549.0,104.0,0,Personal Auto,Sports Car,710.433775
West Region,Female,Bachelor,1225260.18,0.0,115.0,1,Personal Auto,Four-Door Car,552.0
Central,Female,Bachelor,1693627.15,39411.0,217.0,2,Personal Auto,Luxury Vehicle,1122.658899
North West,Male,High School or Below,489243.55,21709.0,62.0,0,Personal Auto,Four-Door Car,408.374746
Central,Male,Bachelor,994230.48,67890.0,85.0,0,Personal Auto,Four-Door Car,408.0
West Region,Male,Bachelor,373583.81,0.0,110.0,0,Personal Auto,SUV,792.0
West Region,Female,High School or Below,1311752.22,84311.0,111.0,4,Personal Auto,SUV,532.8
West Region,Female,College,457452.41,99316.0,114.0,0,Corporate Auto,SUV,754.358929
Central,Female,Bachelor,547006.06,54507.0,138.0,0,Personal Auto,SUV,702.990032
West Region,Female,Bachelor,297884.6,64586.0,76.0,0,Personal Auto,Four-Door Car,206.837111
North West,Male,College,641096.75,61709.0,82.0,2,Personal Auto,Four-Door Car,275.395894
West Region,Male,Master,447902.31,94656.0,111.0,1,Special Auto,SUV,459.738128
West Region,Female,High School or Below,238373.19,0.0,69.0,0,Special Auto,Two-Door Car,496.8
West Region,Male,Bachelor,276449.37,61085.0,70.0,1,Personal Auto,Two-Door Car,336.0
North West,Female,Bachelor,792010.54,89284.0,67.0,3,Personal Auto,Two-Door Car,321.6
Central,Female,High School or Below,688909.8,0.0,63.0,0,Personal Auto,Four-Door Car,302.4
East,Female,Bachelor,327419.46,31686.0,81.0,0,Personal Auto,Four-Door Car,430.994107
North West,Male,High School or Below,995170.77,56855.0,255.0,0,Corporate Auto,Luxury Vehicle,1836.0
North West,Male,Bachelor,252155.57,53703.0,67.0,2,Special Auto,Four-Door Car,67.632476
East,Female,High School or Below,2370611.34,0.0,96.0,1,Personal Auto,Two-Door Car,844.481918
West Region,Male,College,604702.52,20396.0,76.0,1,Personal Auto,Four-Door Car,364.8
West Region,Female,Master,1114030.25,27679.0,150.0,0,Personal Auto,SUV,722.486994
Central,Female,Bachelor,433406.41,23904.0,123.0,3,Personal Auto,SUV,590.4
Central,Female,High School or Below,279974.79,65351.0,69.0,0,Corporate Auto,Four-Door Car,481.027516
West Region,Male,College,792313.66,0.0,113.0,0,Personal Auto,SUV,1124.427734
West Region,Male,High School or Below,368811.09,0.0,63.0,3,Personal Auto,Four-Door Car,669.682001
West Region,Male,College,1206745.6,0.0,116.0,0,Personal Auto,SUV,1284.093173
West Region,Female,College,292497.67,64459.0,72.0,0,Personal Auto,Four-Door Car,240.259479
West Region,Male,College,1501409.27,32961.0,190.0,0,Corporate Auto,SUV,912.0
North West,Female,High School or Below,927723.38,71416.0,116.0,0,Corporate Auto,SUV,556.8
East,Female,Bachelor,627412.39,68964.0,78.0,0,Personal Auto,Four-Door Car,115.086827
West Region,Male,High School or Below,388664.74,78108.0,98.0,0,Personal Auto,Two-Door Car,470.4
West Region,Male,College,438627.76,10621.0,67.0,0,Special Auto,Four-Door Car,321.6
East,Male,College,1136526.77,84910.0,95.0,0,Corporate Auto,Two-Door Car,383.167471
West Region,,High School or Below,561096.43,77493.0,70.0,0,Special Auto,Four-Door Car,307.963291
Central,Male,College,291289.2,81097.0,74.0,0,Personal Auto,Four-Door Car,355.2
North West,,College,691572.99,96610.0,85.0,0,Corporate Auto,Four-Door Car,520.364752
North West,Male,College,626266.33,30110.0,159.0,0,Corporate Auto,Sports Car,466.436375
North West,,High School or Below,650339.7,22081.0,84.0,0,Special Auto,Two-Door Car,451.670309
East,,High School or Below,800739.94,0.0,112.0,0,Personal Auto,Sports Car,537.6
West Region,Male,College,292991.65,98473.0,72.0,0,Personal Auto,Four-Door Car,345.6
North West,,Bachelor,596955.3,97431.0,74.0,0,Personal Auto,Four-Door Car,355.2
West Region,Male,Bachelor,547315.99,93870.0,69.0,0,Personal Auto,Four-Door Car,331.2
Central,Male,High School or Below,564539.67,50366.0,72.0,0,Personal Auto,Four-Door Car,428.734656
East,Male,High School or Below,636926.24,34498.0,83.0,0,Personal Auto,Two-Door Car,398.4
North West,,College,1183376.73,16552.0,103.0,0,Personal Auto,SUV,494.4
North West,,College,612110.79,26787.0,77.0,0,Personal Auto,Four-Door Car,369.6
Central,Male,College,515936.97,0.0,74.0,0,Personal Auto,Two-Door Car,831.752839
Central,,High School or Below,251459.2,43860.0,65.0,0,Corporate Auto,Four-Door Car,156.124914
Central,Male,High School or Below,866861.13,21474.0,114.0,2,Corporate Auto,SUV,373.428187
West Region,Male,Bachelor,496096.54,18174.0,66.0,0,Corporate Auto,Four-Door Car,395.934815
Central,,Bachelor,550413.9,0.0,73.0,0,Corporate Auto,Four-Door Car,350.4
Central,,College,750745.54,60920.0,64.0,0,Personal Auto,Two-Door Car,231.201886
Central,,High School or Below,3226985.14,41520.0,90.0,0,Personal Auto,Four-Door Car,289.904105
North West,,Bachelor,565703.16,0.0,152.0,0,Personal Auto,SUV,729.6
Central,,High School or Below,506175.79,0.0,68.0,0,Personal Auto,Two-Door Car,326.4
West Region,,Bachelor,591278.38,72208.0,73.0,0,Personal Auto,Two-Door Car,350.4
West Region,,Bachelor,1518227.98,53863.0,63.0,0,Personal Auto,Four-Door Car,105.765111
East,,College,1074703.09,66446.0,136.0,0,Corporate Auto,SUV,639.464548
East,,College,205062.35,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
East,,Bachelor,246544.49,64997.0,63.0,1,Personal Auto,Four-Door Car,383.442328
Central,,High School or Below,534312.13,64460.0,66.0,0,Corporate Auto,Two-Door Car,316.8
Central,,College,811982.91,46618.0,67.0,0,Personal Auto,Four-Door Car,99.085943
North West,,College,460526.52,0.0,64.0,0,Corporate Auto,Four-Door Car,307.2
West Region,,College,640878.56,49988.0,84.0,5,Personal Auto,Two-Door Car,566.935022
West Region,,College,237653.35,0.0,91.0,5,Personal Auto,Two-Door Car,436.8
West Region,Male,Bachelor,321107.0,16269.0,86.0,0,Corporate Auto,Two-Door Car,412.8
Central,Female,Bachelor,509452.23,72006.0,64.0,0,Personal Auto,Four-Door Car,307.2
Central,Female,High School or Below,2575527.82,0.0,81.0,2,Personal Auto,Four-Door Car,388.8
North West,Male,Bachelor,867222.97,0.0,245.0,0,Corporate Auto,Luxury Vehicle,2345.413441
West Region,Male,Master,804473.07,44320.0,67.0,0,Personal Auto,Four-Door Car,321.6
Central,Female,High School or Below,400151.91,19782.0,108.0,0,Personal Auto,Two-Door Car,773.470977
Central,Female,Bachelor,1670611.7,63933.0,70.0,0,Personal Auto,Two-Door Car,424.883448
Central,Male,Doctor,854441.11,28224.0,109.0,0,Personal Auto,SUV,523.2
East,Female,College,780531.29,21073.0,106.0,1,Personal Auto,SUV,508.8
North West,Male,Bachelor,611275.69,63243.0,77.0,0,Personal Auto,Four-Door Car,364.240307
Central,Male,High School or Below,477294.38,20993.0,133.0,0,Personal Auto,SUV,638.4
North West,Female,Bachelor,1097909.56,94827.0,135.0,0,Personal Auto,SUV,354.729129
West Region,Female,Master,500426.38,39161.0,63.0,1,Personal Auto,Two-Door Car,283.995953
East,Male,Bachelor,1322304.38,37534.0,84.0,2,Personal Auto,Four-Door Car,403.2
North West,Female,Bachelor,262331.54,80210.0,65.0,0,Corporate Auto,Four-Door Car,20.543176
West Region,Male,Bachelor,1784019.56,0.0,62.0,0,Personal Auto,Four-Door Car,385.115437
West Region,Female,College,510611.18,30110.0,64.0,0,Personal Auto,Four-Door Car,140.165035
Central,Female,College,1793060.45,21708.0,68.0,0,Personal Auto,Four-Door Car,326.4
Central,Male,High School or Below,545734.26,94731.0,67.0,0,Personal Auto,Four-Door Car,321.6
West Region,Male,Bachelor,656364.41,32375.0,83.0,0,Personal Auto,Four-Door Car,398.4
North West,Male,College,481252.52,16531.0,63.0,0,Corporate Auto,Four-Door Car,102.879769
Central,Female,Master,2932804.19,32006.0,94.0,0,Corporate Auto,Four-Door Car,56.868289
Central,Female,Bachelor,577352.07,81676.0,72.0,0,Personal Auto,Two-Door Car,463.158502
West Region,Male,College,684711.89,71038.0,86.0,0,Corporate Auto,Four-Door Car,205.444066
Central,Female,High School or Below,359531.29,0.0,103.0,0,Corporate Auto,Sports Car,741.6
Central,Female,Master,2285561.21,20832.0,65.0,0,Personal Auto,Two-Door Car,56.371967
East,Male,High School or Below,785941.46,0.0,113.0,0,Personal Auto,SUV,813.6
North West,Male,High School or Below,411557.74,52405.0,103.0,0,Personal Auto,Four-Door Car,494.4
Central,Female,High School or Below,502963.88,0.0,133.0,0,Personal Auto,Sports Car,795.864079
East,Female,Bachelor,482141.85,26583.0,1005.0,4,Personal Auto,SUV,614.4
North West,Male,Master,500431.05,25486.0,65.0,0,Special Auto,Two-Door Car,72.438681
Central,Male,College,863005.39,24065.0,111.0,0,Corporate Auto,Four-Door Car,532.8
Central,Female,High School or Below,932208.51,70435.0,116.0,0,Personal Auto,Four-Door Car,67.881546
West Region,Male,College,1672756.06,0.0,76.0,2,Personal Auto,Two-Door Car,402.636829
North West,Female,High School or Below,365253.24,39679.0,92.0,0,Personal Auto,Two-Door Car,641.388616
Central,Male,College,615860.12,0.0,89.0,0,Personal Auto,Four-Door Car,342.481173
West Region,Male,Bachelor,437608.4,0.0,69.0,4,Personal Auto,Two-Door Car,331.2
Central,Male,High School or Below,556945.62,53565.0,71.0,1,Personal Auto,Four-Door Car,340.8
East,Male,Bachelor,257651.3,37574.0,66.0,1,Personal Auto,Two-Door Car,412.101933
East,Male,Bachelor,834698.32,48259.0,108.0,0,Personal Auto,Two-Door Car,73.700573
Central,Female,High School or Below,632392.39,78532.0,78.0,0,Personal Auto,Four-Door Car,374.4
Central,Female,Bachelor,597314.34,96163.0,73.0,0,Corporate Auto,Four-Door Car,350.4
West Region,Male,Bachelor,470667.7,0.0,72.0,0,Personal Auto,Four-Door Car,345.6
West Region,,High School or Below,809341.03,0.0,114.0,1,Personal Auto,Sports Car,722.024742
East,,College,503574.46,72672.0,63.0,0,Personal Auto,Four-Door Car,259.361117
North West,Female,Bachelor,902786.72,99002.0,112.0,1,Personal Auto,Four-Door Car,537.6
West Region,,High School or Below,728888.48,79494.0,91.0,0,Personal Auto,Four-Door Car,396.295614
North West,,Master,1804247.94,35704.0,225.0,0,Personal Auto,Luxury Vehicle,358.281562
Central,Female,Bachelor,499206.3,0.0,71.0,0,Corporate Auto,Four-Door Car,653.388564
North West,Female,High School or Below,910226.78,26049.0,118.0,0,Personal Auto,Two-Door Car,121.032372
Central,,Doctor,254040.77,70125.0,64.0,0,Special Auto,Four-Door Car,92.813396
West Region,,College,1294189.19,52369.0,110.0,1,Personal Auto,SUV,528.0
East,Female,Bachelor,236534.86,0.0,66.0,2,Special Auto,Four-Door Car,159.636956
Central,,College,572076.51,41770.0,72.0,0,Personal Auto,Four-Door Car,476.156957
North West,,High School or Below,703553.41,0.0,101.0,0,Corporate Auto,Four-Door Car,727.2
West Region,Male,College,263697.77,31911.0,67.0,0,Personal Auto,Four-Door Car,321.6
Central,Male,Bachelor,539583.2,70051.0,68.0,0,Corporate Auto,Four-Door Car,42.078345
North West,Male,High School or Below,838263.01,19683.0,117.0,1,Personal Auto,Sports Car,561.6
East,Female,College,3116174.52,30916.0,112.0,0,Personal Auto,SUV,200.11606
North West,Female,Bachelor,288774.23,0.0,80.0,0,Personal Auto,Four-Door Car,676.944023
East,Male,College,742584.53,84302.0,62.0,0,Personal Auto,Four-Door Car,76.609295
West Region,Male,Bachelor,2558572.78,0.0,116.0,0,Corporate Auto,SUV,830.623064
North West,Male,College,1027260.82,60145.0,132.0,0,Personal Auto,SUV,580.473259
North West,Female,Bachelor,437636.36,63774.0,111.0,0,Personal Auto,Four-Door Car,60.036683
West Region,Female,Bachelor,531889.66,25134.0,67.0,0,Corporate Auto,Four-Door Car,321.6
